latitude,longitude,time,co,t
62.25,192.0,2018-05-01,1.2809187e-07,272.05847
62.25,192.75,2018-05-01,1.2888904e-07,272.24207
62.25,193.5,2018-05-01,1.2906776e-07,272.66003
62.25,194.25,2018-05-01,1.2944611e-07,273.32996
62.25,195.0,2018-05-01,1.3029967e-07,274.0116
62.25,195.75,2018-05-01,1.3124645e-07,274.45496
62.25,196.5,2018-05-01,1.3274484e-07,274.68738
62.25,197.25,2018-05-01,1.3600993e-07,274.94714
62.25,198.0,2018-05-01,1.4265424e-07,275.43347
62.25,198.75,2018-05-01,1.4877742e-07,276.15613
62.25,199.5,2018-05-01,1.5760861e-07,276.96667
62.25,200.25,2018-05-01,1.6363492e-07,277.56824
62.25,201.0,2018-05-01,1.6989907e-07,277.59558
62.25,201.75,2018-05-01,1.7958428e-07,276.93542
62.25,202.5,2018-05-01,1.9062281e-07,276.0741
62.25,203.25,2018-05-01,2.0265952e-07,275.79285
62.25,204.0,2018-05-01,2.1472033e-07,276.2577
62.25,204.75,2018-05-01,2.2052245e-07,276.60535
62.25,205.5,2018-05-01,2.2619997e-07,275.82605
62.25,206.25,2018-05-01,2.2405402e-07,274.10925
62.25,207.0,2018-05-01,2.2079666e-07,272.96277
62.25,207.75,2018-05-01,2.13759e-07,273.70886
62.25,208.5,2018-05-01,2.1280994e-07,275.96277
62.25,209.25,2018-05-01,2.227448e-07,277.80457
62.25,210.0,2018-05-01,2.1752248e-07,277.537
62.25,210.75,2018-05-01,1.9670779e-07,275.29675
62.25,211.5,2018-05-01,1.7532648e-07,273.00183
62.25,212.25,2018-05-01,1.495905e-07,272.72253
62.25,213.0,2018-05-01,1.3826048e-07,274.84167
62.25,213.75,2018-05-01,1.3291128e-07,277.6366
62.25,214.5,2018-05-01,1.3684667e-07,278.7577
62.25,215.25,2018-05-01,1.4180887e-07,277.31042
62.25,216.0,2018-05-01,1.4081843e-07,274.6151
62.25,216.75,2018-05-01,1.3951103e-07,272.9452
62.25,217.5,2018-05-01,1.334547e-07,273.6151
62.25,218.25,2018-05-01,1.3135923e-07,276.24597
62.25,219.0,2018-05-01,1.2945657e-07,279.4198
62.25,219.75,2018-05-01,1.2713281e-07,281.71863
62.25,220.5,2018-05-01,1.2507326e-07,282.40417
62.25,221.25,2018-05-01,1.2148303e-07,281.7284
62.25,222.0,2018-05-01,1.1896373e-07,280.82605
62.25,222.75,2018-05-01,1.1785006e-07,280.82996
62.25,223.5,2018-05-01,1.1772273e-07,281.6991
62.25,224.25,2018-05-01,1.18364376e-07,282.16785
